Word,Clue
GANGSTARAP,Genre that glorifies gunplay
BROOMHILDA,Russell Myers comic strip
MARTYMCFLY,Time-traveling 1980s film character
DOCTORNONO,"Coming on to a patient, perhaps?"
ORGANMUSIC,Sunday hymn accompaniment
MODELPLANE,Flier made from a do-it-yourself kit
SPARETIRES,Middle weights?
IRANCONTRA,Affair of the 1980s
GRADEAEGGS,Choices for poachers
BLANKVERSE,Nonrhyming poetry
ALICIAKEYS,2001 Best New Artist Grammy winner
BANTHEBOMB,'60s protest sign
HITSBOTTOM,Reaches a nadir
INFIGHTING,Possible result of sectarianism
BEDAZZLING,Really brilliant
DAVIDSPADE,"Kato Kaelin portrayer on ""S.N.L."""
OILPAINTER,Manet or Monet
EELGRASSES,Tropical aquarium plants
COCONUTOIL,Natural hair conditioner
POSTMASTER,Official in charge of sorts?
SIDVICIOUS,One of the Sex Pistols
CIVILUNION,Domestic relationship
HERESTOYOU,Toast maker's start
GETSUSEDTO,Is no longer fazed by
LEEIACOCCA,Former Chrysler C.E.O.
HALTERTOPS,Summer wear for women
TAGYOUREIT,"Cry before ""No backsies!"""
DROPANCHOR,Water-park?
VOCALCORDS,Singing pair
USNATIONAL,"Old Glory saluter, most likely"
TELLASTORY,Yarn
BRUCEWAYNE,Alternative name for 42-Down
OXYGENTANK,Equipment to help a patient breathe
TROPHYWIFE,"Husband's status symbol, possibly"
JOHNCOUGAR,"""Hurts So Good"" singer, 1982"
SAMELLIOTT,"He played Virgil Earp in ""Tombstone,"" 1993"
NOWHEREMAN,"1965 song with the lyric ""Isn't he a bit like you and me?"""
REVOLUTION,"1968 song with the lyric ""We all want to change the world"""
IWANTMYMTV,Catchphrase of the '80s
FALLENIDOL,One knocked off a pedestal
ELENAKAGAN,First female dean of Harvard Law School
ATVARIANCE,Not seeing eye to eye
WHIRLYBIRD,Eggbeater
STANMUSIAL,Cardinal for 22 years
CROSSDRESS,"*Appear as Tootsie, e.g."
SALADGREEN,Choice for a bed made in the kitchen
NEWFANGLED,Novel
FAMILYLIFE,Standard sitcom subject
DAVEEGGERS,"""A Heartbreaking Work of Staggering Genius"" author"
TRICKKNEES,"Bad conditions for playing hoops, say"
KOSHERDELI,Where to request a knish
MINDREADER,Medium relative
MOSTWANTED,Like some top-10 people
STOLENBASE,"One of Henderson's record 1,406"
OCCASIONAL,Off-and-on
BREADDOUGH,It's kneaded at a bakery
PLATEGLASS,It's seen in shop windows
TALKEDINTO,"Opposite of ""dissuaded from"""
ROADGRADER,Civil engineering vehicle
BUDGETCUTS,Belt tightenings
ATTHATRATE,"""If things were to continue thus ..."""
THEBIGSEEP,Movie about La Brea Tar Pits' formation?
PUPFICTION,Movie about the early life of Lassie?
MITTERRAND,Longest-serving French president
FULLCIRCLE,*Back to the beginning
NOTONADARE,"""Fuhgeddaboudit!"""
DIARYQUEEN,"Anais Nin, e.g.?"
AVONLADIES,Workers associated with ding-dongs
REARRANGED,Rear garden
BEERCHASER,"Shot follower, often ... and a hint to the starts of 17-, 23-, 39- and 48-Across"
LIPREADERS,People who see what you're saying?
THINKTWICE,Be deliberative
RABBITTEST,Old-fashioned pregnancy check
ROADHAZARD,"Downed power lines, e.g."
FLOODPLAIN,Bad place to live when the river rises
SCREAMEDAT,Loudly berated
NEWEDITION,Reissue
DOLLARTREE,*National discount store chain
KNITPICKER,Shopper for woolen goods?
KNICKNAMES,"Ewing, DeBusschere and Frazier?"
COTTONCLUB,Legendary 1920s-'30s Harlem nightspot
GOOSEBUMPS,Result of being left out in the cold
ENGLISHLIT,"Class with Browning and Golding, say"
BREASTBONE,Sternum
BRIDEZILLA,Certain control freak
PADDLEBOAT,"Lakeshore rental, perhaps"
ONTHERADIO,Where many songs are heard
POINTCOUNT,Bridge hand assessment
MASSMARKET,Not a niche audience
KINDOFBLUE,Classic Miles Davis album
EXOTICPETS,"Tamed tigers, say"
BELTBUCKLE,A cowboy may have a big one
THEMESONGS,"""I'll Be There for You"" for ""Friends,"" and others"
ATONESFEET,In a person's immediate vicinity
GETSCLOSER,Approaches
SIGNALEASE,"Get in on the ground floor, perhaps?"
THEMISFITS,1961 film scripted by Arthur Miller
STATETAXES,Education supporters
GETINSHAPE,Work out
STIRFRYING,"Cooking in a wok, e.g."
WITHSTANDS,Holds off
DOMAINNAME,E-tail detail
TENORSAXES,Staples of jazz music
JELLYSTONE,Park that's home to Yogi Bear
FIXERUPPER,"Homebuyer's ""bargain"""
EARTHANGEL,"Song played at the school dance in ""Back to the Future"""
CARRYONBAG,"Allotment of one, usually, for an airline passenger"
RAMCHARGER,Sheep's accuser?
HADASHOTAT,Could still have gotten
SAMTHESHAM,Pharaoh's head?
MYPLEASURE,"""Don't mention it"""
IFIWEREYOU,See 16-Across
CRAWLSPACE,Cramped alternative to a basement
SHARILEWIS,Puppeteer with 12 Emmys
IDLEGOSSIP,Blah-blah-blah
TURKEYTORT,Slandering a Thanksgiving dish?
YIELDCURVE,Line showing the relationship between an interest rate and maturity date
INADILEMMA,Torn
PLURALIZED,"Like men, women and children"
FELLASLEEP,Gave in to exhaustion
ABSOFSTEEL,Hard core?
WIZARDOFOZ,1939 title role for Frank Morgan
TICKLEPINK,"Amuse the ""Get the Party Started"" singer?"
PAWNTICKET,Hockshop receipt
CRAPSTABLE,Place to use a rake
HOLYPERSON,Shrine dedicatee
EVILINTENT,Plans to harm
ASKMELATER,"""I don't have time to answer you"""
EASTBERLIN,"""Octopussy"" setting"
ROTARYDIAL,Keypad forerunner
STRAIGHTUP,Paula Abdul's 37-Across order?
ONANERRAND,"Picking up the dry cleaning, e.g."
BLUEPRINTS,Detailed outlines
BROWNBAGIT,*Lunch
TAIGAWOODS,Areas in northern forests?
ITALIANJOB,"Classic caper film, with ""The"""
TROGLODYTE,One who used to go clubbing?
SLACKJAWED,Apparently floored
TEMPTATION,"""I can resist everything except ___"": Oscar Wilde"
PARAMOUNTS,Two steeds?
RAZORBLADE,Fuzz buster?
WHATISLOVE,"1993 dance hit, and a question answered seven times in this puzzle"
HELPWANTED,Heading for classified information?
TEXASTAXES,What helps pay the governor's salary in Austin?
QUESADILLA,Cheesy Mexican snack
COMEONDOWN,Game show catchphrase #3
EFFRONTERY,Chutzpah
WINDJAMMER,Sailing ship
HELLOAGAIN,"""Oh, you're back"""
THINGSTODO,See 17-Across
MAINFRAMES,Data center workhorses
EATONESHAT,Be forced to backpedal
GASGUZZLER,"Big wheels, often"
CREDITLINE,Borrower's limit
TASTESGOOD,"""Mmm!"""
FRANZKAFKA,"He said ""You are free and that is why you are lost"""
NOTEXACTLY,"""Close ..."""
RAJQUARTET,"""The Jewel in the Crown"" begins it, with ""The"""
PERRYWHITE,"Character known for exclaiming the first words of 20-, 28- and 46-Across"
ASKSAROUND,Gets several views
SONOFZORRO,1947 western serial film
TEMPTSFATE,Maybe takes one risk too many
MEDIABLITZ,Publicity push
WHOCANITBE,Response to a ding-dong?
PATROLCARS,Cruisers
EVANPICONE,Big name in women's apparel since 1949
INFERIORTO,Beneath
JOEJACKSON,White Sox outfielder nicknamed Shoeless
JAGGEDEDGE,1985 Glenn Close/Jeff Bridges thriller
DOWNSIZING,Activity of duvet makers?
PITCHATENT,Prepare to camp
PLEASEGOON,"""Tell me more ..."""
TRAVELVISA,Document checked at the border
KOOLAIDMAN,Ad pitcher who's really a pitcher
ADAPTATION,Evolutionary process
OUTSIDEMAN,Gardener or landscaper
YOUKNOWWHO,Unnamed individual
ISUSPECTSO,"""Seems likely"""
DONKEYKONG,Centipede alternative
LITMUSTEST,Sole deciding issue
SIXSHOOTER,Something that may hold up a train?
STANDSFIRM,Doesn't waver
QUAKEROATS,Company that makes Aunt Jemima syrup
STEVEDORED,Worked the docks
MISSTHECUT,Not make it
DASKAPITAL,"1867 book subtitled ""Kritik der politischen Okonomie"""
SHOWCASING,Displaying
ELLIPTICAL,Like many planetary orbits
NILESCRANE,1990s-2000s sitcom shrink
PIEFILLING,"Mincemeat, e.g."
CHECKSINTO,"Starts, as rehab"
ROOMSTOLET,Boardinghouse sign
VACUUMTUBE,Old radio part
METERMAIDS,*Some ticket issuers
COMESLATER,Follows
ALPHATESTS,Some computer software checks
RAKELEAVES,"Tidy up the lawn, in a way"
ANOTHERYOU,Final Gene Wilder/Richard Pryor comedy
TENNISACES,Providers of exceptional service?
LESLEYGORE,"Singer of the 1967 hit ""California Nights"""
OPERAROLES,"Aida and Norma, notably"
USMAGAZINE,People rival
THUMBSDOWN,Negative sign
SOLDIERBOY,1962 #1 hit by the Shirelles
ADVANCEMEN,Public appearance preparers
EIGHTEENTH,Grant's position in presidential history
OCHLOCRACY,Mob rule
WHYPAYMORE,Discounter's pitch
USAGENOTES,Lexicographic enlighteners
LARGEPRINT,Easily read type
BASSGUITAR,Fish-shaped musical instrument?
EURODISNEY,Much-anticipated Paris debut of 1992
PRIZETABLE,Place for trophies at an awards luncheon
FATSWALLER,"He had a hit with ""The Joint Is Jumpin'"""
DETERMINER,Decision maker
PROMQUEENS,Some dance honorees
ASSISTANCE,See 32-Across
AVASTMATEY,Salt halter
WEBBROWSER,"Safari, e.g."
NANOSECOND,"Time in which light travels one foot, approximately"
SOCIALCALL,Visit
COMPANYMEN,Ultraloyal employees
UPHOLSTERY,"Headline, part 2"
GRASSSKIRT,Diamond border?
GROUNDBEEF,Complaint about a baseball playing area?
GUTTERBALL,Alley oops
TURNSTYLES,Ways to make lefts and rights?
ALESSANDRO,Composer Scarlatti
FALLOWDEER,Popular quarry for British hunters
ROTTENIDEA,Plan that stinks
FLATSCREEN,Modern computer feature
FATTUESDAY,Big Easy bash
FRESHHERBS,Sprigs from the garden
SMOKEALARM,Unpleasant cause of being woken up
DIANFOSSEY,"""Gorillas in the Mist"" researcher"
GREATBRAIN,Einstein's asset?
MILLENNIUM,Period of future bliss
NURSESAIDE,Hospital dogsbody
TORPEDONET,Naval defense
SUGARSHACK,1963 #1 hit for the Fireballs
HOUSEORGAN,Company publication
ANTARCTICA,Roosevelt Island locale
WHITEFACED,"Pallid pirate, with 32-Down?"
PENMANSHIP,What doctors aren't known for
DUSTYBAKER,"N.L. Manager of the Year, 1993, 1997 and 2000"
POWDERHORN,Soldier's accessory of old
IOWEYOUONE,"""Thanks, pal"""
ICEPELLETS,Raindrops after freezing
INDISPOSED,Unwilling
STANDTRIAL,Face the people
APPARITION,Shade
FLATDENIAL,"""In no way, shape or form,"" e.g."
SCENETHREE,"When Mephistopheles appears in ""Dr. Faustus"""
MISSTHEBAT,What well-pitched baseballs do?
LIVELINESS,Sparkle
LEADFOOTED,Pushing 90?
SHOPWINDOW,Place for a mannequin
SPEEDREADS,"Gets through quickly, in a way"
BOOKEDITOR,"Jacqueline Onassis, professionally"
NUDISTCAMP,Where visitors can barely relax?
OVERMONTHS,In the course of many weeks
RAPARTISTS,Beat poets?
SUMMERDAYS,1965 Beach Boys album
SIDEPOCKET,"Start of 67-Across or end of 72-Across, literally"
EATSOFEDEN,Sustenance for Adam and Eve?
TECHNOCRAT,Manager with scientific expertise
CARTESIANS,Followers of philosopher Rene
ONEHUNDRED,Boiling point of water on the Celsius scale
THEPHANTOM,"With 60-Across, longest-running show in Broadway history as of 1/9/06"
TESSHARPER,"""Tender Mercies"" actress"
THEPRESENT,See 54-Across
WINDTUNNEL,Place to test aerodynamics
HAVENEEDTO,Must
MISSKANSAS,"Vera Miles, in 1948"
SPLITLEVEL,House style
INTHEWRONG,Mistaken
ANTICHRIST,Biblical beast
CARPOOLING,Fuel-saving strategy
MIDSECTION,Trunk
EASTBOSTON,Callahan Tunnel terminus
AGGRAVATOR,Source of unrest
BLOCKPARTY,Reason to close off a city street
HUMANBEING,One of us
WALLPAPERS,Does decorating on the side
DOWNSTREAM,Toward the mouth
JOINTOWNER,One with a half-interest
PATANSWERS,Glib responses
STEAMIRONS,They fill pressing needs
ODDFELLOWS,The Three Link Fraternity
TEARGASSES,"Makes cry, in a way"
NATIONWIDE,All over
EUCALYPTUS,Source of heavy timber wood
MEATMARKET,It's full of cuts
THREEPIECE,Like a suit with a vest
UNDERWATER,Masks are worn here
HANGAROUND,Loiter
THELEADOUT,Move it
ASYMMETRIC,Like this puzzle's grid
ENTRENCHED,Dug in
APOSTASIES,Reasons for excommunication
BOILERROOM,Part of a ship
HIPPETYHOP,Bunny's pace
COTTONBOLL,Weevil's hatching place
BARBARAANN,Title girl of a 1966 pop hit
KARATEBELT,Martial arts wear
IRONFISTED,Tyrannical
YULBRYNNER,King portrayer on stage and screen
COOPERATED,Turned state's evidence
RETROSPECT,Survey of the past
THEBIGEASY,"""King Creole"" setting"
UMBERTOECO,"""Baudolino"" author"
FREELAUNCH,"What there's no such thing as, for NASA?"
KHYBERPASS,Mountainous route once used by Alexander the Great
CRISSCROSS,Traverse back and forth
DAYOFBREAK,When the prisoners will escape?
OBOEDAMORE,Name of an old wind
ONEMANRULE,Dictatorship
PINCHPENNY,"Silas Marner, say"
BLACKBERRY,Certain pie order
IMOUTAHERE,"""Bye!"""
ETHIOPIANS,Some marathon champions
LENNYBRUCE,Real-life comic played in film by Dustin Hoffman
EXHAUSTION,Possible effect of heat
CONSONANTS,There are six of these in the middle of 17- and 56-Across and 11- and 25-Down
SPYGLASSES,Crow's-nest instruments
AMANUENSIS,Helper who takes dictation
THREEINONE,Like the Godhead
RUMBLEFISH,Matt Dillon film based on an S. E. Hinton novel
ABELBODIED,Physically no match for Cain?
UNEVENBARS,Gymnastics event
BURNRUBBER,Hightail it
NEVERNEVER,"With 43-Across, where the directions at 17-, 22-, 33- and 57-Across lead"
FILMSTRIPS,Gets footage of slapstick humor?
ALLOCATION,Divvying-up process
STRAIGHTAS,What brainy California baseball players get?
WATERMETER,39.37 inches of stream?
ALAMOGORDO,Site of a blast from the past
SULTANATES,Brunei and others
JUMPFORJOY,Show elation (+)
OLLIENORTH,Big name in talk radio
ADDLEPATED,Foolish
CENTERFOLD,Magazine opening?
STORAGEBIN,"Place for ""junk"""
WAKEUPCALL,Stark dose of reality
SGTSNORKEL,Beetle driver?
TENORSACKS,Singer's football tackles?
MYOLDFLAME,1934 Mae West tune
RESTPERIOD,Break
PARLIAMENT,A ___ of owls
UNORTHODOX,Hardly ordinary
BEAUJOLAIS,See 40-Across
MOTORHOTEL,Stop on the way
EYEPOPPING,Incredible to behold
ACROSSTOWN,Opposite of nearby
DESIDERATA,Needed things
SPINDOCTOR,Public relations pro
FIRSTBLUSH,"Initially, after ""at"""
OFTENTIMES,Quite a bit
HONEYBUNCH,Bees?
JUGGERNAUT,Crushing force
BRAKESHOES,They strike drums
GREENBELTS,Dojo conferrals
BLOODSPORT,"Cockfighting, e.g."
LANDLUBBER,Not the sailing sort
MALTLIQUOR,Drink with a kick
BUCKLEDOWN,SEAT BELT ___ SIDESTEP
KNEWBETTER,Was aware that doing something was bad
RAYCHARLES,"""Unchain My Heart"" singer"
TIMEWARNER,Noted 1989 media merger
KINGFISHER,Larry & Carrie's favorite bird?
EQUIVOCATE,Weasel
WHIPSTITCH,Seam finisher
AUTOMATION,Labor saver
APOTHEOSIS,Quintessence
GEORGERAFT,"""Bolero"" star, 1934"
RINGCIRCUS,See 22-Down
JUDDHIRSCH,"""I'm Not Rappaport"" Tony winner"
FRESHWATER,Like some fish
EMPHASIZED,LIAR
ADDRESSEES,They deserve what?Æs coming to them
NIGHTSPOTS,Bistros
CANDYCLARK,"""American Graffiti"" actress"
MARTIALART,Activity in which you might bust someone's chops
CROSSCROSS,Betray?
EAGLEEAGLE,Old coin?
HOBBYHORSE,Tot's riding toy
INSTITCHES,Another surgeon had the audience ___
INABSENTIA,One way to vote
NUTCRACKER,"1892 Tchaikovsky ballet, with ""The"""
TALENTSHOW,It may give you a song and dance
INADDITION,Too
FILIBUSTER,Intransigent senator's tactic
NIPANDTUCK,Job for a plastic surgeon?
APOTHECARY,Rx purveyor
MURPHYSLAW,Irish side dish?
INDELICATE,Tactless
DISCORDANT,Off-key
SUGARSUGAR,"Amore from the Archies, 1969"
MARCANTONY,Second Triumvirate member
SADDLESHOE,Two-tone oxford
YOURSTRULY,Complimentary close
WATERWORLD,Plumbers' favorite film?
RUSTYNAILS,Scotch and Drambuie drinks
CATSTEVENS,Singer now known as Yusef Islam
WESTERNERS,"Coloradans, Utahans, etc."
NIGHTWATCH,"Rembrandt painting, with ""The"""
DUTCHTREAT,Separate-checks occasion
CARTWRIGHT,"Little Joe, e.g."
TALKTURKEY,Get down to basics
RESENTMENT,Umbrage
WAVELENGTH,See image
ARCHBISHOP,Coy Joey?
SWINGSHIFT,Batter's new strategy? (1984)
ANNEBOLEYN,Elizabeth I's mother
ELIMINATES,Deep-sixes
MYSTERIOUS,"With 19 Across, the Orient"
ABYSSINIAN,Brindled cat
HUSKYVOICE,Canine laryngitis?
RIGHTOFWAY,Intersection concern
WORDSWORTH,"Poet laureate, 1843-50"
TEMPERANCE,Self-control
NOWANDTHEN,Occasionally
UPANDABOUT,No longer bedridden
DREADLOCKS,Modern hairstyle
OUTTOLUNCH,Not with it
METHUSELAH,6.5-quarter bottle
KNACKWURST,Kind of sandwich
MOONSTRUCK,Olympia Dukakis film
ADVENTURES,"""And then..."" stories"
